fiscal_year,fiscal_quarter,quarter_label,period_ended,iphone_revenue_m,mac_revenue_m,ipad_revenue_m,wearables_revenue_m,services_revenue_m,total_revenue_m,americas_m,europe_m,china_m,japan_m,apac_m,products_gross_margin_pct,services_gross_margin_pct,source
2022,1,FY2022 Q1,2021-12-25,71600,10852,7248,14702,19516,123945,51496,29749,25783,7107,9810,36.4,72.4,Apple 8-K Jan 2022
2022,2,FY2022 Q2,2022-03-26,50570,10435,7646,8806,19821,97278,40903,23274,18343,7673,7085,36.0,72.6,Apple 8-K May 2022
2022,3,FY2022 Q3,2022-06-25,40665,7382,7224,8084,19604,82959,37472,19942,14604,6101,4840,35.4,71.5,Apple 8-K Jul 2022
2022,4,FY2022 Q4,2022-09-24,42627,11508,7174,9651,19188,90146,38087,22996,15470,5872,7721,34.6,70.5,Apple 8-K Oct 2022
2023,1,FY2023 Q1,2022-12-31,65775,7735,9396,13482,20766,117154,49278,27681,23905,6755,9535,36.0,70.8,Apple 8-K Feb 2023
2023,2,FY2023 Q2,2023-04-01,51334,7168,6670,8757,20907,94836,40428,23945,17812,7176,5475,36.7,70.8,Apple 8-K May 2023
2023,3,FY2023 Q3,2023-07-01,39669,6840,5791,8284,21213,81797,35396,20205,15758,4821,5617,36.4,70.5,Apple 8-K Aug 2023
2023,4,FY2023 Q4,2023-09-30,43805,7614,6443,9320,22314,89498,40004,21390,15077,5921,7106,36.3,70.3,Apple 8-K Nov 2023
2024,1,FY2024 Q1,2023-12-30,69702,7780,7023,11953,23117,119575,50430,30397,20819,7767,10162,37.8,72.8,Apple 8-K Feb 2024
2024,2,FY2024 Q2,2024-03-30,45963,7451,5559,7913,23867,90753,37273,24123,16372,6205,6780,37.2,74.6,Apple 8-K May 2024
2024,3,FY2024 Q3,2024-06-29,39296,7009,7162,8097,24213,85777,34777,21884,14728,4966,9422,37.5,74.0,Apple 8-K Aug 2024
2024,4,FY2024 Q4,2024-09-28,46222,7744,6950,9042,24972,94930,41664,24924,15033,5926,7383,37.8,74.0,Apple 8-K Nov 2024
2025,1,FY2025 Q1,2024-12-28,69138,8987,8088,11747,26340,124300,52648,33861,18513,8987,10291,38.2,75.0,Apple 8-K Jan 2025
2025,2,FY2025 Q2,2025-03-29,46841,7949,6402,7522,26645,95359,41042,24403,15796,6588,7530,38.0,75.7,Apple 10-Q May 2025
2025,3,FY2025 Q3,2025-06-28,44582,8046,6581,7404,27423,94036,40471,24064,15575,6492,7432,38.1,76.1,Apple 8-K Jul 2025
2025,4,FY2025 Q4,2025-09-27,49025,8726,6952,9013,28750,102466,44192,28703,14493,6636,8442,38.3,75.3,Apple 8-K Oct 2025
2026,1,FY2026 Q1,2025-12-27,85269,8386,8595,11493,30013,143756,61742,38060,21563,9244,13147,38.5,75.5,Apple 10-Q Feb 2026
