customer_key,customer_id,first_purchase_date,last_purchase_date,total_revenue_usd,total_orders,region_key,segment_key,cohort_quarter,is_subscriber,rfm_score,clv_estimated_usd
1,CUST-000001,2021-07-12,2025-03-24,526.18,3,12,1,FY2021-Q4,True,12,1949.00
2,CUST-000002,2023-06-03,2025-04-04,757.34,3,24,2,FY2023-Q3,True,10,1023.33
3,CUST-000003,2025-02-26,2025-05-10,612.32,2,27,6,FY2025-Q2,False,6,1814.10
4,CUST-000004,2023-12-02,2025-09-19,3100.76,2,17,1,FY2024-Q1,True,14,8416.12
5,CUST-000005,2022-06-04,2025-03-27,3086.19,3,9,1,FY2022-Q3,True,13,9092.15
6,CUST-000006,2020-02-20,2025-03-05,557.91,2,4,44,FY2020-Q2,False,8,2219.09
7,CUST-000007,2024-04-06,2025-07-30,1075.94,2,18,29,FY2024-Q3,False,9,4010.30
8,CUST-000008,2021-09-24,2023-01-21,422.38,1,3,1,FY2021-Q4,True,14,1278.94
9,CUST-000009,2024-03-11,2024-12-24,1399.51,3,2,7,FY2024-Q2,False,6,3836.31
10,CUST-000010,2024-10-07,2025-05-16,2455.06,2,23,4,FY2025-Q1,True,8,9719.32
11,CUST-000011,2024-01-28,2025-07-22,594.00,6,34,4,FY2024-Q2,False,6,1085.04
12,CUST-000012,2022-08-20,2024-12-22,601.07,1,1,1,FY2022-Q4,True,14,1758.24
13,CUST-000013,2024-10-03,2025-03-19,256.91,1,6,47,FY2025-Q1,False,7,621.58
14,CUST-000014,2021-03-16,2021-10-12,246.71,1,17,1,FY2021-Q2,True,13,707.53
15,CUST-000015,2025-06-12,2025-07-19,864.78,1,3,48,FY2025-Q3,False,7,2594.73
16,CUST-000016,2025-04-28,2025-09-28,1071.79,1,14,1,FY2025-Q3,False,12,4738.90
17,CUST-000017,2025-11-30,2025-12-09,857.32,1,21,3,FY2026-Q1,True,8,1659.47
18,CUST-000018,2024-02-19,2024-08-30,419.92,1,20,10,FY2024-Q2,False,9,1433.22
19,CUST-000019,2022-04-09,2023-10-09,819.80,2,6,1,FY2022-Q3,True,13,2816.14
20,CUST-000020,2025-12-23,2025-12-25,769.70,3,25,26,FY2026-Q1,True,7,1644.46
21,CUST-000021,2025-08-21,2025-09-26,8817.94,6,17,2,FY2025-Q4,True,10,29672.29
22,CUST-000022,2020-05-09,2020-11-11,7000.00,2,24,5,FY2020-Q3,False,10,18257.71
23,CUST-000023,2022-06-07,2025-09-27,609.77,2,24,1,FY2022-Q3,True,13,2128.12
24,CUST-000024,2023-10-02,2025-01-15,17313.91,21,1,2,FY2024-Q1,False,11,51528.41
25,CUST-000025,2025-03-12,2025-07-07,16836.92,22,13,8,FY2025-Q2,True,4,27744.02
26,CUST-000026,2024-02-08,2025-05-02,8909.26,25,1,3,FY2024-Q2,False,9,17283.37
27,CUST-000027,2022-10-13,2025-03-30,991.41,3,29,15,FY2023-Q1,False,7,4345.92
28,CUST-000028,2021-12-03,2022-07-06,1072.36,3,8,3,FY2022-Q1,True,9,4196.89
29,CUST-000029,2021-03-14,2024-06-13,7687.17,7,10,2,FY2021-Q2,True,11,17400.72
